current_northing,current_easting,current_tvd,offset_northing,offset_easting,offset_tvd,distance,collision_risk
18727.005942368123,18682.040923334924,19599.966219799408,18727.8145293877,17131.92690565856,18666.72506881305,1809.3626412369797,0
47535.71532049581,16645.604811570163,8690.239911974231,45190.074494357075,13992.08465356203,10072.041237501486,3801.654247486637,0
36599.697090570255,8807.695625143002,11932.793887397724,34192.018341586845,6050.623905255399,12553.000905242563,3712.548743369478,0
29932.92420985183,30363.333505074395,18265.612737156363,29608.71111352102,27538.396025969425,17355.443758575606,2985.5976725364544,0
7800.932022121826,23831.208025431442,14641.786890489599,7729.329466226514,23756.267464170036,14687.61292133078,113.32713194805858,1
7799.726016810132,43285.04961620018,19771.42077269788,5500.744796314504,44700.66046504646,19660.336212016595,2702.1488684350093,0
2904.180608409973,1605.4790241029127,24224.158024457192,3271.3573302855607,658.815069813259,24821.01086356637,1177.8050343716964,0
43308.80728874676,32193.39637775632,7330.93375430395,42618.901097926,34136.40581704094,5881.851698371973,2520.1379006129796,0
30055.75058716044,38147.44392557805,19191.35432796122,30029.532055883108,38199.6119363101,19217.999469476534,64.17847218850582,1
35403.628889802276,37974.32845941535,9606.88311264229,37921.674943804144,40217.3320768663,10447.743041519876,3475.437609562924,0
1029.2247147901223,44303.69835477626,13289.534548151385,542.685327475943,43136.73009800146,14632.575402015183,1844.5308950720403,0
48495.49260809972,36451.6871414747,5657.254515902797,49182.073586534294,35186.548782012804,4401.743611942259,1910.046108996829,0
41622.13204002109,46390.503082384814,7718.147645853978,43490.2569463654,45238.071393586026,8912.500929143465,2498.8936008473715,0
10616.955533913808,16632.829991044575,11395.545780977995,10548.695594550707,16554.196085812317,11424.03163692245,107.9544087233967,1
9091.248360355032,25160.470837577155,11839.716105759699,9012.107177981776,25069.539364762422,11828.469503332588,121.07165465891245,1
9170.22549267169,703.9831641445338,22991.704329241915,7987.482279713002,556.6753552748104,22885.036116577983,1196.6449790755646,0
15212.112147976886,347.8793651645606,19836.2581853303,15293.57673513126,414.9690029868258,19839.018685013558,105.57044483119614,1
26237.821581611894,12006.331022575994,24443.659363740822,26154.39267333219,11933.649034155826,24441.807905121594,110.66382460619873,1
21597.250932105788,5040.359856954263,16981.430206704812,21501.785849991058,5088.969135884673,17017.211948997432,112.94590290400971,1
14561.457009902095,13010.568396787681,9834.27464182636,14632.788010055787,10106.236922811997,9881.070793079365,2905.584158492194,0
30592.644736118975,8852.16472641987,11553.100598432859,28318.284651022368,5917.220824014701,12573.424635556985,3850.671454133577,0
6974.693032602092,1426.0012419324119,11396.718465839342,6571.309418784769,2838.8572397395683,11665.692803537124,1493.7294282352273,0
14607.232426760907,45465.20732030247,11529.88655326503,13862.160369719899,47314.45754833891,11084.16381968712,2042.9213228375484,0
18318.092164684585,411.15656944457623,18459.283462236315,17887.22660145904,-1364.0801540339303,19157.056781822088,1955.5045802774587,0
22803.499210851798,36804.10721685427,15616.158561808325,22801.406089283028,36751.64807662536,15634.492915525305,55.61017063161405,1
39258.79806965068,7607.394345975827,12708.483561732886,39188.80013743367,7562.654477734141,12708.224511231561,83.0748664284383,1
9983.689107917988,45611.48109998,7981.7953745743325,9996.868751541044,45619.96443856672,8006.604655661847,29.345706120094114,1
25711.72192068058,44639.79697949429,5442.783258842918,23356.183394855525,45203.05936912389,4357.764720606175,2653.88234376257,0
29620.72844310212,32695.057318462867,9376.693551753851,29011.132535614433,30991.104109294934,9875.518984975368,1877.2028452695426,0
2322.520635999886,33611.707490030254,7149.428079373625,4544.121598064878,35016.98796698809,7973.299413033364,2754.8299453855975,0
30377.24259507192,266.95709848442715,20708.90061704479,32999.57315990083,-209.93961660205565,20213.20969250913,2711.043629446639,0
8526.206184364577,49243.5783056801,7249.959156277708,6976.570239089289,51180.10718722393,8660.657225079907,2853.346230877861,0
3252.5796492639756,43891.63017879072,19484.564746136723,2055.587375408641,46582.86721424371,19906.3703418688,2975.4776499335476,0
47444.276862666666,44755.3112865046,12713.173795521652,44501.61582850658,45088.02301884336,11500.209892609066,3200.1925705446047,0
48281.601653727965,32962.226852543594,6467.567794875519,45975.08731955668,35366.23195984882,7866.421074835085,3613.3141890155125,0
40419.86740582305,17239.346432726827,21254.600988631715,40487.435906254934,17327.98690330705,21251.670854181004,111.49538538969082,1
15230.688458668534,44682.43245452404,16592.611404732266,14301.406327590828,41885.17976626161,17324.590603399625,3037.100826184969,0
4883.605700319194,14575.846407559617,9715.230257271462,5994.258183322101,14351.994055961353,10302.164558623208,1275.9900812388232,0
34211.65132560785,28135.577167110143,22893.62348665336,32964.87671970433,28156.55119311061,22153.37273187866,1450.1234456545621,0
22007.624686980063,4986.54861719412,5905.166277411029,19460.00820350104,4481.424093130402,5824.606939466304,2598.4592239699905,0
6101.911742238941,46097.78150663751,9036.392163955257,7487.118203542996,44986.8351369457,10239.544878017892,2144.895155975275,0
24758.84550556351,7038.522888560667,20040.93855611722,24559.43773548776,8376.295665948812,19465.40169033513,1469.912292132305,0
1719.4260557609198,11244.840286520362,19187.55860619778,1834.6092977590704,11560.933603554462,18957.55412412091,407.5343250405711,0
45466.0201039391,27906.70790641075,10785.433874489561,44422.17060155065,25401.206242299442,10055.689820644373,2810.6381404626886,0
12938.999080000845,38204.65001064908,6240.497507055662,13617.264221578742,40908.92502207845,5388.202503718867,2915.3994087318283,0
33126.1142176991,30967.565296814948,22161.561444498875,35470.790228843216,33292.66906239848,20792.706607830605,3574.5456608967165,0
